Station_ID,Station_Name,City,Province,Latitude,Longitude,Charging_Level,Power_kW,Status
ON-EV-2000,Ottawa Charging Station 0,Ottawa,ON,45.403191,-75.722662,Level 2,7.2,Active
ON-EV-2001,Hamilton Charging Station 1,Hamilton,ON,43.165457,-79.864579,Level 3,150.0,Active
ON-EV-2002,Hamilton Charging Station 2,Hamilton,ON,43.353995,-79.958797,Level 3,150.0,Active
ON-EV-2003,Mississauga Charging Station 3,Mississauga,ON,43.653936,-79.674538,Level 2,7.2,Active
ON-EV-2004,Toronto Charging Station 4,Toronto,ON,43.728926,-79.323715,Level 2,7.2,Active
ON-EV-2005,Toronto Charging Station 5,Toronto,ON,43.584668,-79.45112,Level 2,7.2,Active
ON-EV-2006,Kitchener Charging Station 6,Kitchener,ON,43.537618,-80.571333,Level 2,7.2,Active
ON-EV-2007,Markham Charging Station 7,Markham,ON,43.932427,-79.244737,Level 2,7.2,Active
ON-EV-2008,Markham Charging Station 8,Markham,ON,43.757129,-79.273011,Level 2,7.2,Active
ON-EV-2009,Markham Charging Station 9,Markham,ON,43.788252,-79.273407,Level 3,50.0,Active
ON-EV-2010,Markham Charging Station 10,Markham,ON,43.794727,-79.42018,Level 2,7.2,Active
ON-EV-2011,Kitchener Charging Station 11,Kitchener,ON,43.477963,-80.540539,Level 2,7.2,Active
ON-EV-2012,Vaughan Charging Station 12,Vaughan,ON,43.920036,-79.58281,Level 2,7.2,Active
ON-EV-2013,Markham Charging Station 13,Markham,ON,43.864353,-79.244402,Level 2,7.2,Active
ON-EV-2014,Hamilton Charging Station 14,Hamilton,ON,43.176202,-79.783654,Level 2,7.2,Active
ON-EV-2015,Ottawa Charging Station 15,Ottawa,ON,45.51096,-75.763924,Level 3,50.0,Active
ON-EV-2016,Windsor Charging Station 16,Windsor,ON,42.309615,-83.124816,Level 2,7.2,Active
ON-EV-2017,Ottawa Charging Station 17,Ottawa,ON,45.495807,-75.602502,Level 3,150.0,Active
ON-EV-2018,Mississauga Charging Station 18,Mississauga,ON,43.607879,-79.667378,Level 2,7.2,Active
ON-EV-2019,Toronto Charging Station 19,Toronto,ON,43.617922,-79.385471,Level 3,150.0,Active
ON-EV-2020,Markham Charging Station 20,Markham,ON,43.845281,-79.382275,Level 3,50.0,Active
ON-EV-2021,Mississauga Charging Station 21,Mississauga,ON,43.579277,-79.711375,Level 3,50.0,Active
ON-EV-2022,Brampton Charging Station 22,Brampton,ON,43.799489,-79.707835,Level 2,7.2,Active
ON-EV-2023,Mississauga Charging Station 23,Mississauga,ON,43.679173,-79.713888,Level 2,7.2,Active
ON-EV-2024,Hamilton Charging Station 24,Hamilton,ON,43.337605,-79.799628,Level 3,50.0,Active
ON-EV-2025,Kitchener Charging Station 25,Kitchener,ON,43.44006,-80.53011,Level 2,7.2,Active
ON-EV-2026,London Charging Station 26,London,ON,42.930891,-81.302679,Level 2,7.2,Active
ON-EV-2027,Kitchener Charging Station 27,Kitchener,ON,43.494585,-80.47995,Level 2,7.2,Active
ON-EV-2028,Vaughan Charging Station 28,Vaughan,ON,43.788149,-79.56776,Level 2,7.2,Active
ON-EV-2029,Vaughan Charging Station 29,Vaughan,ON,43.910484,-79.439543,Level 3,50.0,Active
ON-EV-2030,Hamilton Charging Station 30,Hamilton,ON,43.338067,-79.777598,Level 2,7.2,Active
ON-EV-2031,Kitchener Charging Station 31,Kitchener,ON,43.351846,-80.472835,Level 2,7.2,Active
ON-EV-2032,Brampton Charging Station 32,Brampton,ON,43.717561,-79.822295,Level 2,7.2,Active
ON-EV-2033,London Charging Station 33,London,ON,43.001294,-81.291501,Level 3,50.0,Active
ON-EV-2034,Toronto Charging Station 34,Toronto,ON,43.555524,-79.468711,Level 2,7.2,Active
ON-EV-2035,London Charging Station 35,London,ON,42.943233,-81.206304,Level 3,150.0,Active
ON-EV-2036,Kitchener Charging Station 36,Kitchener,ON,43.359524,-80.496399,Level 2,7.2,Active
ON-EV-2037,Toronto Charging Station 37,Toronto,ON,43.573758,-79.369019,Level 2,7.2,Active
ON-EV-2038,London Charging Station 38,London,ON,43.008531,-81.204807,Level 2,7.2,Active
ON-EV-2039,Ottawa Charging Station 39,Ottawa,ON,45.386792,-75.693658,Level 2,7.2,Active
ON-EV-2040,Toronto Charging Station 40,Toronto,ON,43.718103,-79.41164,Level 2,7.2,Active
ON-EV-2041,London Charging Station 41,London,ON,42.998408,-81.207407,Level 3,150.0,Active
ON-EV-2042,Windsor Charging Station 42,Windsor,ON,42.248397,-83.115486,Level 2,7.2,Active
ON-EV-2043,Mississauga Charging Station 43,Mississauga,ON,43.668244,-79.625145,Level 2,7.2,Active
ON-EV-2044,Kitchener Charging Station 44,Kitchener,ON,43.493412,-80.418306,Level 3,150.0,Active
