Municipality,Current_Population,Projected_Pop_2031,EV_Registrations_2024,Annual_EV_Growth_Rate,EV_Density
Toronto,2794356,3150000,45200,0.28,16.18
Ottawa,1017449,1150000,13100,0.22,12.88
Mississauga,717961,780000,9400,0.25,13.09
Brampton,656480,750000,7800,0.31,11.88
Hamilton,569353,620000,5600,0.19,9.84
London,422324,480000,4350,0.24,10.3
Markham,338503,380000,7100,0.26,20.97
Vaughan,323103,370000,6500,0.27,20.12
Kitchener,256885,300000,4100,0.23,15.96
Windsor,229660,250000,2300,0.15,10.01
